"docket","court","nos","jur_fq","jur_div","jur_supp","remove","counterclaim","cfaa","patent","copyright","lanham","antitrust","rico","otherfed","statets","contract","fiduciary","goodfaith","unfaircomp","conversion","interfere","unjenrich","fraud","statecomp","conspiracy","otherstate","technical","customer","businfo","software","formula","negativets","employee","buspartner","otherdef","foreigndef","country","acquire","disclose","use","hacking","nda","noncompete","tro","pi","exparte"
"0:16-CV-02011","MND",410,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,"",0,1,1,0,1,0,5,1,1
"0:16-CV-02290","MND",190,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,"",1,1,1,0,1,0,1,1,1
"0:16-CV-02671","MND",190,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"",0,1,1,0,0,1,2,1,1
"0:16-CV-03065","MND",190,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,0,1,1,1
"0:16-CV-03143","MND",840,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,"",1,0,1,1,0,1,1,1,1
"0:16-CV-03899","MND",190,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,"",0,1,1,0,1,1,1,1,1
"0:17-CV-01034","MND",190,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,0,0,1,1,1
"0:17-CV-01212","MND",190,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",1,1,1,0,1,0,3,3,1
"0:17-CV-60061","FLSD",890,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"",0,0,1,0,0,0,1,3,1
"0:17-CV-60925","FLSD",830,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,"",0,1,1,0,1,1,2,2,1
"1:15-CV-00211","NYSD",190,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,"Mauritius",1,1,1,0,1,0,1,2,1
"1:16-CV-00009","MTD",190,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,"",0,0,1,0,0,0,1,1,1
"1:16-CV-00033","IAND",840,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"",1,1,1,0,0,0,1,1,1
